Player 1,Player 2,ROUND,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST2.1,ST2.2,ST3.2,ST4.2,ST5.2
S Williams,V Azarenka,7,1,2,1,57,44,43,20,9,5,36,35,12,7,13,4,,7,6,6,,,57,31,43,23,2,7,17,27,8,4,15,10,,5,7,1,,
F Pennetta,V Azarenka,6,0,0,2,44,12,56,7,1,3,19,23,6,5,20,12,,4,2,,,,56,21,44,10,0,6,15,25,13,8,30,20,,6,6,,,
S Williams,N Li,6,1,2,0,63,26,37,9,4,1,19,20,11,5,11,6,,6,6,,,,63,20,37,10,0,4,8,24,4,1,19,13,,0,3,,,
R Vinci,F Pennetta,5,0,0,2,60,21,40,7,0,3,14,28,5,2,34,18,,4,1,,,,63,23,37,8,3,3,23,17,12,6,14,7,,6,6,,,
D Hantuchova,V Azarenka,5,0,0,2,58,14,42,5,3,3,19,18,4,3,10,5,,2,3,,,,60,20,40,9,1,4,17,15,11,7,13,12,,6,6,,,
E Makarova,N Li,5,0,1,2,60,40,40,18,1,4,15,33,6,4,12,7,,4,7,2,,,68,43,32,14,5,8,44,42,14,7,23,17,,6,6,6,,
A Ivanovic,V Azarenka,4,0,1,2,55,26,45,18,3,8,41,42,13,7,20,8,,6,3,4,,,73,40,27,7,3,9,21,30,19,9,24,16,,4,6,6,,
A Riske,D Hantuchova,4,0,1,2,69,37,31,14,3,1,17,20,2,2,24,12,,3,7,2,,,60,38,40,19,15,2,46,22,7,4,16,12,,6,5,6,,
S Halep,F Pennetta,4,0,0,2,75,22,25,8,1,1,18,32,10,3,15,10,,2,6,,,,45,23,55,16,2,3,22,23,6,5,22,16,,6,7,,,
C Giorgi,R Vinci,4,0,0,2,54,18,46,11,2,7,20,35,1,1,16,7,,4,2,,,,54,19,46,15,6,0,12,9,8,4,5,4,,6,6,,,
S Williams,S Stephens,4,1,2,0,62,26,38,11,6,4,22,13,10,4,13,9,,6,6,,,,66,28,34,8,0,4,15,29,2,1,12,6,,4,1,,,
J Jankovic,N Li,4,0,0,2,66,8,34,3,0,4,7,22,3,2,6,3,,3,0,,,,58,17,42,8,3,2,20,12,7,7,12,10,,6,6,,,
C Suarez Navarro,A Kerber,4,1,2,1,78,54,22,9,2,1,45,47,19,7,21,14,,4,6,7,,,68,47,32,12,4,6,30,50,15,7,19,12,,6,3,6,,
A Ivanovic,C McHale,3,1,2,1,60,41,40,18,7,5,45,51,11,6,32,18,,4,7,6,,,64,39,36,14,2,3,22,28,10,5,9,7,,6,5,4,,
C Wozniack,C Giorgi,3,0,1,2,62,34,38,21,2,2,13,27,11,2,10,7,,6,4,3,,,63,47,37,22,3,4,46,45,9,3,34,27,,4,6,6,,
M Kirilenko,S Halep,3,0,0,2,54,9,46,5,1,5,3,24,1,0,8,3,,1,0,,,,81,23,19,3,3,1,13,8,7,6,5,4,,6,6,,,
A Cornet,V Azarenka,3,0,1,2,56,44,44,21,9,10,30,44,6,1,18,13,,7,3,2,,,68,48,32,17,2,6,24,38,18,4,30,19,,6,6,6,,
K Knapp,R Vinci,3,0,0,2,58,22,42,8,3,6,17,35,5,3,17,9,,4,3,,,,51,25,49,16,0,0,14,23,16,5,17,12,,6,6,,,
P Kvitova,A Riske,3,0,0,2,52,18,48,10,4,7,20,27,0,0,13,8,,3,0,,,,70,22,30,6,1,2,12,7,9,5,3,3,,6,6,,,
S Kuznetsova,F Pennetta,3,0,0,2,55,21,45,10,4,3,24,35,8,1,24,16,,5,1,,,,51,26,49,17,0,1,16,13,8,5,14,9,,7,6,,,
J Glushko,D Hantuchova,3,0,1,2,73,43,27,10,1,3,27,32,17,8,20,12,,6,5,6,,,61,41,39,21,1,4,32,58,11,7,35,27,,3,7,7,,
L Robson,N Li,3,0,0,2,52,16,48,16,0,5,7,30,2,1,5,3,,2,5,,,,65,29,35,10,11,6,23,21,7,4,9,9,,6,7,,,
J Hampton,S Stephens,3,0,0,2,55,14,45,6,0,1,12,34,7,2,17,11,,1,3,,,,70,25,30,8,2,2,12,15,9,6,8,5,,6,6,,,
S Williams,Y Shvedova,3,1,2,0,66,28,44,7,6,1,22,16,8,4,13,10,,6,6,,,,59,14,41,12,0,3,3,21,1,0,13,4,,3,1,,,
A.Radwanska,A Pavlyuchenkova,3,1,2,0,75,42,25,12,1,1,13,15,5,3,14,7,,6,7,,,,53,30,47,13,4,3,32,41,10,2,29,19,,4,6,,,
E Makarova,S Lisicki,3,1,2,0,61,36,39,15,6,3,24,20,8,3,15,11,,6,7,,,,56,28,44,12,7,3,25,30,6,1,11,9,,4,5,,,
J Zheng,C Suarez Navarro,3,0,0,2,75,27,25,6,0,4,13,33,3,2,13,8,,2,4,,,,79,30,21,5,0,2,13,23,11,5,9,7,,6,6,,,
J Jankovic,K Nara,3,1,2,0,52,31,48,12,3,5,20,23,9,6,28,14,,6,7,,,,81,30,19,5,0,2,28,27,7,5,26,19,,4,6,,,
K Kanepi,A Kerber,3,0,0,2,44,17,56,10,1,9,15,29,1,1,7,6,,0,4,,,,44,17,56,14,2,3,16,9,11,5,6,6,,6,6,,,
F Pennetta,S Errani,2,1,2,0,58,24,42,11,7,0,33,19,7,6,21,13,,6,6,,,,93,16,7,1,0,1,12,18,9,2,16,9,,3,1,,,
S Williams,G Voskoboeva,2,1,2,0,64,21,36,11,4,1,16,13,7,5,8,6,,6,6,,,,57,16,43,7,3,3,15,19,1,0,10,5,,3,0,,,
C Wozniacki,C Scheepers,2,1,2,0,76,22,34,6,0,1,14,11,9,6,9,9,,6,6,,,,55,12,45,5,0,0,11,27,4,2,18,10,,1,2,,,
E Bouchard,A Kerber,2,0,1,2,47,27,53,27,2,7,41,43,14,6,38,26,,4,6,3,,,68,34,32,14,2,3,28,27,18,7,22,15,,6,2,6,,
A Wozniak,V Azarenka,2,0,0,2,48,10,52,4,0,8,10,35,5,3,10,5,,3,1,,,,65,25,35,8,3,5,16,19,10,7,8,7,,6,6,,,
C McHale,E Svitolina,2,1,2,1,66,52,34,21,7,5,34,57,10,3,13,6,,6,3,7,,,59,44,41,20,5,2,27,47,19,2,19,14,,4,6,5,,
A Ivanovic,A Dulgheru,2,1,2,0,64,39,36,12,2,4,18,21,6,4,6,5,,6,6,,,,79,33,21,5,1,2,10,26,6,0,9,6,,2,1,,,
P Ormaechea,S Lisicki,2,0,0,2,41,9,59,15,0,4,2,16,6,1,7,1,,2,3,,,,42,24,58,15,8,6,33,25,6,4,16,7,,6,6,,,
A Cornet,A Tomljanovic,2,1,2,0,56,28,44,12,4,6,19,19,11,6,15,9,,6,6,,,,55,13,45,9,0,4,14,39,9,2,15,9,,2,2,,,
D Hantuchova,V Duval,2,1,2,0,46,14,54,18,2,2,10,18,12,5,5,5,,6,6,,,,74,21,26,6,0,4,14,27,2,2,7,5,,2,3,,,
K Nara,S Cirstea,2,1,2,0,80,25,20,8,0,0,12,18,10,6,5,4,,7,6,,,,58,19,42,6,2,2,14,35,4,3,9,5,,5,1,,,
A Riske,M Barthel,2,1,2,0,62,26,38,11,0,1,18,12,12,4,15,11,,6,6,,,,57,21,43,15,5,3,18,21,4,1,26,11,,4,2,,,
S Kuznetsova,S Peng,2,1,2,1,54,39,46,19,5,3,41,39,13,6,34,22,,6,4,6,,,71,44,29,14,0,1,22,30,7,3,20,15,,1,6,4,,
S Arvidsson,N Li,2,0,0,2,67,18,33,8,1,2,4,19,2,1,3,1,,2,2,,,,58,19,42,13,4,1,29,17,10,5,17,12,,6,6,,,
U Radwanska,S Stephens,2,0,0,2,67,10,33,7,0,1,5,15,0,0,10,6,,1,1,,,,67,20,33,8,2,0,24,11,10,5,16,14,,6,6,,,
V Williams,J Zheng,2,0,1,2,52,39,48,26,4,6,29,44,14,4,27,17,,3,6,6,,,74,49,26,15,1,3,18,31,13,4,16,11,,6,2,7,,
J Hampton,K Mladenovic,2,1,2,0,56,27,44,15,1,4,23,33,16,6,11,6,,7,6,,,,59,30,41,14,5,5,27,46,12,4,12,8,,5,4,,,
C Vandeweghe,C Suarez Navarro,2,0,0,2,47,14,53,10,2,5,18,37,2,2,9,7,,3,4,,,,82,27,18,7,0,0,6,14,6,4,2,2,,6,6,,,
L Robson,C Garcia,2,1,2,0,59,28,41,17,8,2,23,21,2,1,5,4,,6,7,,,,64,31,36,17,7,3,20,23,2,2,10,7,,4,6,,,
A Barty,A Pavlyuchenkova,2,0,0,2,52,13,48,10,3,2,3,2,0,0,,,,4,0,,,,55,21,45,11,4,2,4,2,5,4,,,,6,6,,,
P Kvitova,M Doi,1,1,2,1,73,47,27,11,3,4,29,29,11,5,16,13,,6,3,6,,,58,21,42,17,1,5,15,23,16,2,6,5,,2,6,1,,
C Wozniacki,Y Duan,1,1,2,0,69,28,31,12,2,3,11,11,14,6,1,1,,6,7,,,,65,24,35,8,0,4,34,46,10,3,9,8,,2,5,,,
D Pfizenmaier,V Azarenka,1,0,0,2,67,17,33,4,3,4,15,27,3,0,4,2,,0,0,,,,51,16,49,12,1,1,14,10,14,6,12,10,,6,6,,,
O Rogowska,S Errani,1,0,0,2,47,8,53,4,1,6,13,38,2,0,5,4,,0,0,,,,69,21,31,7,0,2,7,8,8,6,3,3,,6,6,,,
V Duval,S Stosur,1,1,2,1,63,49,37,19,0,7,23,35,13,6,20,10,,5,6,6,,,63,45,37,17,9,10,29,56,16,5,22,16,,7,4,4,,
A Ivanovic,A Tatishvili,1,1,2,0,62,17,48,11,2,2,16,17,9,7,7,4,,6,6,,,,63,13,47,4,0,5,8,22,5,2,5,3,,2,0,,,
J Goerges,C McHale,1,0,0,2,53,32,47,11,3,4,19,33,5,0,15,12,,4,3,,,,58,28,42,13,1,5,10,13,6,3,7,7,,6,6,,,
V Lepchenko,A Dulgheru,1,0,1,2,63,38,37,18,2,2,25,55,10,3,17,10,,7,2,6,,,64,51,36,19,0,10,26,42,9,5,19,14,,6,6,7,,
S Kuznetsova,M Burdette,1,1,2,0,63,26,37,12,5,1,15,23,11,4,5,4,,6,7,,,,68,27,32,15,0,3,15,33,1,1,9,5,,3,5,,,
B Jovanovski,A Petkovic,1,1,2,0,60,31,40,15,2,5,21,23,9,4,7,6,,6,6,,,,74,25,26,3,4,5,21,40,10,1,10,8,,2,4,,,
S Peng,Y Meusburger,1,1,2,0,54,18,46,16,3,0,35,30,14,5,27,18,,6,6,,,,73,24,27,9,0,4,12,17,5,3,11,7,,3,4,,,
A Cornet,M Koehler,1,1,2,0,53,19,47,18,0,4,8,20,7,4,6,5,,6,6,,,,45,21,55,13,1,8,13,47,4,1,3,3,,3,2,,,
H Watson,S Halep,1,0,1,2,54,29,46,16,1,8,23,60,8,5,15,12,,6,4,2,,,73,40,27,7,5,6,16,42,13,7,5,3,,4,6,6,,
K Flipkens,V Williams,1,0,0,2,46,15,54,7,1,6,16,19,8,1,16,13,,1,2,,,,52,24,48,12,1,5,21,20,12,6,22,15,,6,6,,,
A.Radwanska,S.Soler-Espinosa,1,1,2,0,72,26,28,6,3,0,21,13,8,5,,62,,6,6,,,,50,10,50,10,1,4,9,19,3,1,,34,,1,2,,,
S Williams,F Schiavone,1,1,2,0,51,13,49,12,1,0,13,8,9,6,8,6,,6,6,,,,43,8,57,5,0,8,3,18,0,0,6,3,,0,1,,,
O Govortsova,N Li,1,0,0,2,68,22,42,6,3,4,11,17,0,0,6,3,,2,2,,,,62,19,48,13,6,1,28,13,10,4,13,9,,6,6,,,
M Minella,S Stephens,1,0,1,2,65,43,35,18,1,2,15,37,15,4,18,10,,6,3,6,,,58,48,42,26,6,6,38,55,9,4,19,13,,4,6,7,,
J Jankovic,M Keys,1,1,2,0,64,28,36,14,1,2,8,21,3,2,15,9,,6,6,,,,58,19,42,13,4,1,15,32,2,0,13,6,,3,4,,,
L Robson,L Dominguez Lino,1,1,2,0,57,27,43,7,6,8,33,30,14,7,19,10,,7,6,,,,60,20,40,8,4,5,10,21,9,3,5,4,,5,0,,,
J Hampton,L Arruabarrena,1,1,2,0,61,27,39,13,3,3,28,32,7,4,25,20,,6,6,,,,52,16,48,12,1,4,7,18,6,1,8,4,,4,2,,,
V Dushevina,S Lisicki,1,0,0,2,54,21,46,14,1,5,11,29,7,3,12,6,,2,6,,,,43,22,57,22,5,6,30,30,12,5,12,8,,6,7,,,
P Ormaechea,K Date-Krumm,1,1,2,0,59,32,41,10,2,5,24,35,13,6,8,5,,6,7,,,,69,28,31,6,0,3,14,43,9,4,14,9,,3,6,,,
K Pliskova,E Bouchard,1,0,1,2,53,48,47,21,6,4,35,51,7,2,23,16,,6,4,5,,,72,45,28,16,5,2,26,29,13,3,13,10,,4,6,7,,
L Hradecka,A Kerber,1,0,0,2,49,17,51,4,3,7,20,31,0,0,6,4,,1,1,,,,50,16,50,14,0,1,11,6,8,5,6,5,,6,6,,,
L Davis,C Suarez Navarro,1,0,0,2,63,12,37,3,0,4,6,26,2,0,4,0,,0,0,,,,78,21,22,4,1,1,9,12,12,6,10,8,,6,6,,,
K Mladenovic,A Medina Garrigues,1,1,2,1,51,29,49,15,8,1,49,41,25,7,30,19,,6,1,6,,,61,32,39,11,1,2,21,29,13,4,14,7,,1,6,1,,
